feature,pearson_r,pearson_p,spearman_rho,spearman_p,n
ll_spectral_entropy,0.5326902754337535,1.164904500642632e-08,0.5698880222172252,6.079660913768057e-10,100
local_std_cv,-0.47699209455383657,5.241538407420408e-07,-0.505202896207859,8.297857490010644e-08,100
edge_density,0.459216800248228,1.5425181928952448e-06,0.45849086161681085,1.6099770114323427e-06,100
hh_energy,0.4128853355075761,1.9633072968182935e-05,0.4040194924000915,3.0653793699213706e-05,100
block_energy_std,-0.39256507355087367,5.3517398514431195e-05,-0.33650187919558455,0.0006190904975576191,100
laplacian_var,0.30343228048422377,0.002148697917375052,0.3207551707209044,0.001139347710374434,100
gradient_magnitude,0.2908473795077988,0.0033285027130013855,0.3185227867450732,0.0012390365325539584,100
embedding_pos_energy,0.2651951639963537,0.007663798258730067,0.2933184515340761,0.0030590304795460547,100
wavelet_energy_ratio,0.2375283490040302,0.01733226089988561,0.2913021047171963,0.0032773715881548307,100
histogram_entropy,0.19996309877044505,0.0460772752886268,0.14178038659405215,0.15939845277339348,100
local_std_mean,0.19848672228373754,0.04774218666003073,0.2455682383736226,0.013791760739205806,100
ll_variance,-0.19374102747675184,0.05343433540976961,-0.13252079392010724,0.1887277848076477,100
ll_kurtosis,-0.018285841961857605,0.8567015584908849,0.06996003330709642,0.48915541827440695,100
