p1,p2,symmetry_class,symmetry_num,esrgan_combined,esrgan_diff,esrgan_min,jpeg_combined,jpeg_diff,jpeg_q_combined,freq_radius_sum,pred_esrgan_nc,pred_jpeg_nc,pred_combined,pred_min_nc,pareto_optimal
"(0, 1)","(0, 2)",asymmetric,0,17.377312237587883,2.365669387453285,7.505821425067299,6.375464142213652,0.8823065514278721,21.0,3.0,0.2335370114558757,1.0,0.44012220687352543,0.2335370114558757,True
"(0, 1)","(0, 3)",asymmetric,0,16.026907290917883,3.7160743341232862,6.1554164783972976,6.648040210044186,0.6097304835973381,27.0,4.0,0.32599387245255895,0.9727272727272728,0.4874145052897172,0.32599387245255895,False
"(0, 1)","(0, 4)",asymmetric,0,15.28151284926373,4.461468775777437,5.410022036743147,6.814207246234824,0.44356344740670073,35.0,5.0,0.3770280681208006,0.9363636363636364,0.5071259317815713,0.3770280681208006,False
"(0, 1)","(0, 5)",asymmetric,0,14.715476800487194,5.027504824553974,4.84398598796661,7.00837745047582,0.24939324316570533,51.0,6.0,0.4157823072917216,0.8636363636363636,0.5085602934659421,0.4157823072917216,False
"(0, 1)","(0, 6)",asymmetric,0,14.28726369010803,5.455717934933138,4.415772877587446,7.47352940214085,0.2157587084993251,62.0,7.0,0.4451003574965233,0.8136363636363636,0.5111511235888231,0.4451003574965233,False
"(0, 1)","(0, 7)",asymmetric,0,14.00157955047141,5.741402074569757,4.130088737950826,7.431688188644152,0.1739174950026272,72.0,8.0,0.46466001539949064,0.7681818181818182,0.5092505546942399,0.46466001539949064,False
"(0, 1)","(1, 0)",symmetric,2,20.25243044975037,0.5094488247092048,9.871490812520584,7.328703917334983,0.07093322369345856,23.0,2.0,0.03668909146976873,0.990909090909091,0.41928618215458857,0.03668909146976873,False
"(0, 1)","(1, 1)",near-symmetric,1,16.590782622101163,3.152199002940004,6.71929180958058,7.071731391478734,0.18603930216279085,23.0,2.414213562373095,0.2873875690298485,0.990909090909091,0.5197052686906365,0.2873875690298485,False
"(0, 1)","(1, 2)",near-symmetric,1,15.527131180505856,4.215850444535311,5.6556403679852725,6.331003264347784,0.9267674292937405,25.0,3.23606797749979,0.36021155692103823,0.9818181818181818,0.5606723886980776,0.36021155692103823,False
"(0, 1)","(1, 3)",asymmetric,0,14.678119794052936,5.064861830988231,4.806628981532353,6.5560821372074045,0.70168855643412,30.0,4.16227766016838,0.4183399930878685,0.9590909090909091,0.5387312685799939,0.4183399930878685,False
"(0, 1)","(1, 4)",asymmetric,0,20.27885457244072,0.5358729473995556,9.871490812520584,7.644583613045542,0.3868129194040173,37.0,5.123105625617661,0.034879936782824195,0.9272727272727272,0.29910978025151264,0.034879936782824195,False
"(0, 1)","(1, 5)",asymmetric,0,13.83152639717613,5.911455227865038,3.9600355846555457,6.925374202497226,0.3323964911442987,69.0,6.0990195135927845,0.47630287911606695,0.7818181818181819,0.5203271820150948,0.47630287911606695,False
"(0, 1)","(1, 6)",asymmetric,0,13.60822008290572,6.134761542135448,3.736729270385136,7.444668747319497,0.18689805367797296,71.0,7.082762530298219,0.49159177516839037,0.7727272727272727,0.526773246919216,0.49159177516839037,False
"(0, 1)","(1, 7)",asymmetric,0,13.415192062146726,6.327789562894442,3.5437012496261415,7.29671906104489,0.038948367403365936,66.0,8.071067811865476,0.5048076367718213,0.7954545454545454,0.5415209456994564,0.5048076367718213,False
"(0, 1)","(2, 0)",near-symmetric,1,17.300451075769587,2.442530549271579,7.428960263249005,6.641218351618689,0.6165523420228354,25.0,3.0,0.23879938980527493,0.9818181818181818,0.4878250884286195,0.23879938980527493,False
"(0, 1)","(2, 1)",near-symmetric,1,15.487563480337805,4.255418144703362,5.616072667817222,6.518585062039584,0.7391856316019401,24.0,3.23606797749979,0.36292060013316296,0.9863636363636363,0.5636614509889887,0.36292060013316296,False
"(0, 1)","(2, 2)",asymmetric,0,14.835881659803473,4.907099965237694,4.96439084728289,6.472144319278861,0.7856263743626632,27.0,3.8284271247461903,0.40753866499125335,0.9727272727272728,0.5363413808129338,0.40753866499125335,False
"(0, 1)","(2, 3)",asymmetric,0,14.240567084623567,5.502414540417601,4.3690762721029825,6.609387023102158,0.6483836705393662,35.0,4.60555127546399,0.44829748852965556,0.9363636363636364,0.5498875840268842,0.44829748852965556,False
"(0, 1)","(2, 4)",asymmetric,0,13.922700410061537,5.820281214979629,4.0512095975409546,7.004852523756572,0.2529181698849521,51.0,5.47213595499958,0.4700605567248147,0.8636363636363636,0.5411272431257979,0.4700605567248147,False
"(0, 1)","(2, 5)",asymmetric,0,13.588586365459186,6.154395259581982,3.717095552938602,7.170094797416757,0.08767589622476679,68.0,6.385164807134504,0.4929360177893011,0.7863636363636364,0.5316707015826716,0.4929360177893011,False
"(0, 1)","(2, 6)",asymmetric,0,13.335415102984976,6.407566522056191,3.463924290464393,7.84252607169222,0.5847553780506956,80.0,7.324555320336759,0.5102696481796916,0.7318181818181818,0.5257072434532695,0.5102696481796916,False
"(0, 1)","(2, 7)",asymmetric,0,13.294676338108777,6.44830528693239,3.423185525588194,7.566665593773017,0.308894900131492,67.0,8.280109889280517,0.5130588695392722,0.7909090909090909,0.5451080489962905,0.5130588695392722,False
"(0, 1)","(3, 0)",near-symmetric,1,16.208415996257884,3.534565628783283,6.336925183737301,7.0159563262161395,0.24181436742538498,25.0,4.0,0.3135666926049948,0.9818181818181818,0.5326854701084515,0.3135666926049948,False
"(0, 1)","(3, 1)",asymmetric,0,14.907716690462006,4.835264934579162,5.036225877941422,6.822827949370524,0.4349427442710003,28.0,4.16227766016838,0.40262040587152315,0.9681818181818181,0.5320267889774593,0.40262040587152315,False
"(0, 1)","(3, 2)",asymmetric,0,14.339134998442628,5.40384662659854,4.467644185922044,6.567051090735028,0.6907196029064964,33.0,4.60555127546399,0.4415489351204174,0.9454545454545454,0.548565724708614,0.4415489351204174,False
"(0, 1)","(3, 3)",asymmetric,0,13.988637146968726,5.754344478072442,4.117146334448142,6.811684738175263,0.44608595546626173,40.0,5.242640687119285,0.4655461303419466,0.9136363636363636,0.5534185872960771,0.4655461303419466,False
"(0, 1)","(3, 4)",asymmetric,0,13.694614655257812,6.0483669697833555,3.823123842737228,7.710059560706245,0.45228886706472116,62.0,6.0,0.4856766820798154,0.8136363636363636,0.5354969183387983,0.4856766820798154,False
"(0, 1)","(3, 5)",asymmetric,0,13.428029970181857,6.31495165485931,3.556539157661274,7.257358176726326,0.0004125169151980579,98.0,6.830951894845301,0.5039286762188262,0.65,0.4973572057312957,0.5039286762188262,False
"(0, 1)","(3, 6)",asymmetric,0,13.22273946730226,6.520242157738908,3.3512486547816764,7.877931166066951,0.6201604724254266,91.0,7.708203932499369,0.517984101249283,0.6818181818181819,0.5153359152950243,0.517984101249283,False
"(0, 1)","(3, 7)",asymmetric,0,13.14793398986933,6.595047635171838,3.276443177348746,7.644991503607141,0.38722080996561603,73.0,8.615773105863909,0.5231057350568767,0.7636363636363637,0.5429543501250351,0.5231057350568767,False
"(0, 1)","(4, 0)",asymmetric,0,15.653657069234495,4.089324555806673,5.782166256713911,7.574590839984818,0.3168201463432938,29.0,5.0,0.3515488320580167,0.9636363636363636,0.500020208325719,0.3515488320580167,False
"(0, 1)","(4, 1)",asymmetric,0,19.845921067244426,0.1029394422032599,9.871490812520584,8.652488245301734,1.3947175516602095,33.0,5.123105625617661,0.06452117366472843,0.9454545454545454,0.3223490678352007,0.06452117366472843,False
