pair_label,pos1,pos2,image,attack,nc,ber
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim01.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim01.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim01.png,gaussian_blur_5x5,0.89453125,0.052734375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim02.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim02.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim02.png,gaussian_blur_5x5,0.98828125,0.005859375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim03.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim03.png,jpeg_compression_q50,0.99609375,0.001953125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim03.png,gaussian_blur_5x5,0.970703125,0.0146484375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim04.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim04.png,jpeg_compression_q50,0.998046875,0.0009765625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim04.png,gaussian_blur_5x5,0.966796875,0.0166015625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim05.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim05.png,jpeg_compression_q50,0.990234375,0.0048828125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim05.png,gaussian_blur_5x5,0.802734375,0.0986328125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim06.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim06.png,jpeg_compression_q50,0.978515625,0.0107421875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim06.png,gaussian_blur_5x5,0.912109375,0.0439453125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim07.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim07.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim07.png,gaussian_blur_5x5,0.8984375,0.05078125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim08.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim08.png,jpeg_compression_q50,0.9921875,0.00390625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim08.png,gaussian_blur_5x5,0.791015625,0.1044921875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim09.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim09.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim09.png,gaussian_blur_5x5,0.955078125,0.0224609375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim10.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim10.png,jpeg_compression_q50,0.99609375,0.001953125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim10.png,gaussian_blur_5x5,0.966796875,0.0166015625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim11.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim11.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim11.png,gaussian_blur_5x5,0.9453125,0.02734375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim12.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim12.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim12.png,gaussian_blur_5x5,0.97265625,0.013671875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim13.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim13.png,jpeg_compression_q50,0.994140625,0.0029296875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim13.png,gaussian_blur_5x5,0.849609375,0.0751953125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim14.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim14.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim14.png,gaussian_blur_5x5,0.89453125,0.052734375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim15.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim15.png,jpeg_compression_q50,0.978515625,0.0107421875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim15.png,gaussian_blur_5x5,0.951171875,0.0244140625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim16.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim16.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim16.png,gaussian_blur_5x5,0.984375,0.0078125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim17.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim17.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim17.png,gaussian_blur_5x5,0.94140625,0.029296875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim18.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim18.png,jpeg_compression_q50,0.998046875,0.0009765625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim18.png,gaussian_blur_5x5,0.916015625,0.0419921875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim19.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim19.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim19.png,gaussian_blur_5x5,0.923828125,0.0380859375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim20.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim20.png,jpeg_compression_q50,0.8125,0.09375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim20.png,gaussian_blur_5x5,0.923828125,0.0380859375
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim21.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim21.png,jpeg_compression_q50,0.99609375,0.001953125
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim21.png,gaussian_blur_5x5,0.88671875,0.056640625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim22.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim22.png,jpeg_compression_q50,0.998046875,0.0009765625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim22.png,gaussian_blur_5x5,0.97265625,0.013671875
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim23.png,real_esrgan,,
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim23.png,jpeg_compression_q50,1.0,0.0
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim23.png,gaussian_blur_5x5,0.982421875,0.0087890625
"standard (4,1)/(1,4)","(4, 1)","(1, 4)",kodim24.png,real_esrgan,,
