image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim
kodim01,kodak,standard,0.05,none,1.0,0.0,40.684344496387496,0.9876162982502596
kodim01,kodak,standard,0.05,real_esrgan,0.720703125,0.1396484375,28.165750650590596,0.8721488564702368
kodim01,kodak,standard,0.05,jpeg_q50,1.0,0.0,29.535279908269416,0.8762154565368597
kodim01,kodak,standard,0.05,gaussian_blur,0.8984375,0.05078125,25.65955733327753,0.7600516401007908
kodim01,kodak,balanced,0.05,none,1.0,0.0,41.48500562271557,0.989654755135898
kodim01,kodak,balanced,0.05,real_esrgan,0.69140625,0.154296875,24.843164015867316,0.8064255401868352
kodim01,kodak,balanced,0.05,jpeg_q50,1.0,0.0,29.57459599870645,0.8780151178609166
kodim01,kodak,balanced,0.05,gaussian_blur,0.9609375,0.01953125,25.6631426003465,0.7605168762951539
kodim01,kodak,hf,0.05,none,1.0,0.0,43.32918315402349,0.992533289038676
kodim01,kodak,hf,0.05,real_esrgan,0.876953125,0.0615234375,28.28867047376327,0.8730251436832854
kodim01,kodak,hf,0.05,jpeg_q50,0.97265625,0.013671875,29.70518811185037,0.8825893168408979
kodim01,kodak,hf,0.05,gaussian_blur,0.974609375,0.0126953125,25.7253575899271,0.7658722977686221
kodim01,kodak,standard,0.1,none,1.0,0.0,40.522719951846824,0.987222817138328
kodim01,kodak,standard,0.1,real_esrgan,0.73828125,0.130859375,28.15893141930793,0.8719144217449587
kodim01,kodak,standard,0.1,jpeg_q50,1.0,0.0,29.524356566456788,0.8758712607392285
kodim01,kodak,standard,0.1,gaussian_blur,0.912109375,0.0439453125,25.657156457331727,0.7598572794133721
kodim01,kodak,balanced,0.1,none,1.0,0.0,41.325485304008005,0.9893474448212348
kodim01,kodak,balanced,0.1,real_esrgan,0.697265625,0.1513671875,24.842097154063385,0.8063147152218796
kodim01,kodak,balanced,0.1,jpeg_q50,1.0,0.0,29.564958495219077,0.8777999088419449
kodim01,kodak,balanced,0.1,gaussian_blur,0.96484375,0.017578125,25.661249960326444,0.7603725434810711
kodim01,kodak,hf,0.1,none,1.0,0.0,43.219674573450334,0.992383270589297
kodim01,kodak,hf,0.1,real_esrgan,0.888671875,0.0556640625,28.285455852760613,0.8728110179638683
kodim01,kodak,hf,0.1,jpeg_q50,0.9765625,0.01171875,29.7015455268548,0.8824999075266219
kodim01,kodak,hf,0.1,gaussian_blur,0.98046875,0.009765625,25.725074274709858,0.7658600965133674
kodim01,kodak,standard,0.2,none,1.0,0.0,40.23016812868495,0.986485614023112
kodim01,kodak,standard,0.2,real_esrgan,0.76171875,0.119140625,28.14922394716468,0.871634449184989
kodim01,kodak,standard,0.2,jpeg_q50,1.0,0.0,29.50137036161568,0.8752625395983111
kodim01,kodak,standard,0.2,gaussian_blur,0.927734375,0.0361328125,25.652652182081887,0.7595097688258313
kodim01,kodak,balanced,0.2,none,1.0,0.0,41.011974669206055,0.9887143301046922
kodim01,kodak,balanced,0.2,real_esrgan,0.708984375,0.1455078125,24.840831458420954,0.8061727543257243
kodim01,kodak,balanced,0.2,jpeg_q50,1.0,0.0,29.544307148695715,0.8772720208666732
kodim01,kodak,balanced,0.2,gaussian_blur,0.982421875,0.0087890625,25.656384938627205,0.7600107089742605
kodim01,kodak,hf,0.2,none,1.0,0.0,43.02374939271186,0.992099435505248
kodim01,kodak,hf,0.2,real_esrgan,0.888671875,0.0556640625,28.277751861857755,0.8723345721080213
kodim01,kodak,hf,0.2,jpeg_q50,0.9765625,0.01171875,29.69491085799681,0.8823883656301859
kodim01,kodak,hf,0.2,gaussian_blur,0.982421875,0.0087890625,25.724722941272123,0.76583416362801
kodim01,kodak,standard,0.3,none,1.0,0.0,39.93091619530403,0.9856519787920938
kodim01,kodak,standard,0.3,real_esrgan,0.78125,0.109375,28.13630082052942,0.8712454499374647
kodim01,kodak,standard,0.3,jpeg_q50,1.0,0.0,29.47820768504943,0.8746486139691031
kodim01,kodak,standard,0.3,gaussian_blur,0.94921875,0.025390625,25.647780502899977,0.7591275958663903
kodim01,kodak,balanced,0.3,none,1.0,0.0,40.70566628788916,0.9880565016912508
kodim01,kodak,balanced,0.3,real_esrgan,0.73828125,0.130859375,24.83738857004605,0.8060293250777031
kodim01,kodak,balanced,0.3,jpeg_q50,1.0,0.0,29.52061081800723,0.8766941650083343
kodim01,kodak,balanced,0.3,gaussian_blur,0.990234375,0.0048828125,25.65140395180432,0.7596472820828994
kodim01,kodak,hf,0.3,none,1.0,0.0,42.84573480806987,0.9918468912411316
kodim01,kodak,hf,0.3,real_esrgan,0.89453125,0.052734375,28.27095053314811,0.8719045295640274
kodim01,kodak,hf,0.3,jpeg_q50,0.98046875,0.009765625,29.687675338738085,0.8822021685417235
kodim01,kodak,hf,0.3,gaussian_blur,0.990234375,0.0048828125,25.724560723735475,0.7658161467138599
kodim02,kodak,standard,0.05,none,1.0,0.0,42.94449062023746,0.9798349646619888
kodim02,kodak,standard,0.05,real_esrgan,0.7734375,0.11328125,31.05269087872118,0.8600167332671157
kodim02,kodak,standard,0.05,jpeg_q50,0.998046875,0.0009765625,32.32748349927939,0.8313082011944898
kodim02,kodak,standard,0.05,gaussian_blur,0.982421875,0.0087890625,31.929084902954425,0.8680135248666621
