alpha,attack,coeff_row,coeff_col,mean_abs_change,std_abs_change,median_abs_change,mean_rel_change
0.05,real_esrgan,0,0,53.081013405151396,34.96757156820171,45.21203124999977,0.03884997227450336
0.05,real_esrgan,0,1,11.028928801074064,10.315299743388907,7.735728634581205,1.3346634676512628
0.05,real_esrgan,0,2,8.454398610429077,8.276548093420768,5.8344294445489755,1.715537816016251
0.05,real_esrgan,0,3,7.051552742522806,7.451053988107945,4.587527637507065,1.8369121139270133
0.05,real_esrgan,0,4,6.202944312133788,6.8704759096316375,3.806468749999932,6.104989043651504
0.05,real_esrgan,0,5,5.471026375066913,6.55733062024234,3.2495375538832763,1.7208400879220755
0.05,real_esrgan,0,6,5.0320436195184195,6.236603513552015,2.8897057875946635,3.465349854165341
0.05,real_esrgan,0,7,4.796524575526401,5.966836061272885,2.760615253339859,3.23140284368771
0.05,real_esrgan,1,0,11.85030472209014,11.391582885458897,8.425434843485226,1.2493540447934128
0.05,real_esrgan,1,1,8.040277597396642,7.341637936650902,5.674728872483398,2.5349641088176047
0.05,real_esrgan,1,2,6.773540100853938,6.224005754421334,4.827599493559744,2.281342620308293
0.05,real_esrgan,1,3,5.831254896937729,5.568899443692526,4.164256500792121,1.9972833677095547
0.05,real_esrgan,1,4,10.826382210823528,7.322050674611376,10.057531575487634,1.7428129479018124
0.05,real_esrgan,1,5,4.6437965307595785,4.705389763142133,3.0373281248240565,1.9683712309385573
0.05,real_esrgan,1,6,4.280840733814797,4.45353207953059,2.7812897397954632,2.5007159161754875
0.05,real_esrgan,1,7,4.023896409351041,4.373824575246738,2.5234166391644903,3.300818676881249
0.05,real_esrgan,2,0,8.787924345877185,8.882707795089994,6.286800666815158,4.414659884890809
0.05,real_esrgan,2,1,6.903578334230463,6.447945531182407,5.023218069633227,1.6400456442022995
0.05,real_esrgan,2,2,6.018403326530592,5.648058033450585,4.254354216590775,1.6572522838239152
0.05,real_esrgan,2,3,5.263625659500775,4.9853528903713995,3.646017796608158,1.8551254940848718
0.05,real_esrgan,2,4,4.767506613234634,4.598054557019558,3.1630588604627308,20.715723711865817
0.05,real_esrgan,2,5,4.302637186908008,4.227989956571444,2.7240285802135817,2.6522377331915914
0.05,real_esrgan,2,6,3.9499397960501224,4.0138894933723925,2.4550363299683213,3.195409103140378
0.05,real_esrgan,2,7,3.8240001383614026,3.94374861572842,2.4194015823714086,4.684321546065985
0.05,real_esrgan,3,0,7.4129272108577675,8.056816278654283,5.01476142733031,1.7772773911322781
0.05,real_esrgan,3,1,6.122020292797484,5.938633014005856,4.4091286537652605,1.7614827547178018
0.05,real_esrgan,3,2,5.3738174785307296,5.143126247709537,3.769764803233593,1.5660168475563723
0.05,real_esrgan,3,3,4.8608964364217035,4.646352995691469,3.2493839505075477,1.5996357158001195
0.05,real_esrgan,3,4,4.472862851928712,4.353205221798003,2.8703727208224334,2.3497446485274147
0.05,real_esrgan,3,5,4.037471155272183,4.0112237129183335,2.5681030046626585,2.67858745915373
0.05,real_esrgan,3,6,3.783910827807874,3.7770140946762187,2.4107134594416015,2.69847416795615
0.05,real_esrgan,3,7,3.6020788084366746,3.734926049251045,2.281831503419706,2.770846975380303
0.05,real_esrgan,4,0,6.626402263793946,7.505766675306247,4.448968749999986,2.3014372165162764
0.05,real_esrgan,4,1,10.589921440309917,7.388207107160918,9.172935808392744,2.0083744845459983
0.05,real_esrgan,4,2,4.954262757781615,4.821804840969646,3.3645195673166963,2.707211040503868
0.05,real_esrgan,4,3,4.554451932095011,4.415286309801556,2.9870326775968197,2.285784831369382
0.05,real_esrgan,4,4,4.1880968841552715,4.110321494792581,2.6552968750000203,7.505770538889671
0.05,real_esrgan,4,5,3.9139469661374284,3.892206624070244,2.49846901558971,2.779471708620659
0.05,real_esrgan,4,6,3.6256275831418274,3.65441628049144,2.3359131777261877,2.821300086148779
0.05,real_esrgan,4,7,3.5330907220790193,3.597222931673853,2.175962890907564,2.688191141245718
0.05,real_esrgan,5,0,5.872440266107873,7.001930709280599,3.7930654047228107,2.923646709065402
0.05,real_esrgan,5,1,5.036693931752172,5.310223732605908,3.3887369934701037,2.016919129374552
0.05,real_esrgan,5,2,4.524731478309285,4.597610808733613,3.0321944331795265,2.3228200947968323
0.05,real_esrgan,5,3,4.138475843864569,4.149387216893263,2.632518356767812,2.6239577890025005
