predictor,n,pearson_r,pearson_p,spearman_rho,spearman_p,mutual_info,description,scope
mean_abs_damage,300,-0.7965282924175328,4.3672875756477085e-67,-0.8245986116113129,1.0529334090766894e-75,0.651635078086751,absolute coefficient damage (|dC1|+|dC2|)/2,pooled
mean_abs_damage,100,-0.8476990681800938,9.832159028690368e-29,-0.8785631151334302,3.2420208085993e-33,0.9412198217253822,absolute coefficient damage (|dC1|+|dC2|)/2,standard
mean_abs_damage,100,-0.6908929161807073,1.7955687989515663e-15,-0.7100370863068572,1.3237806515178687e-16,0.5039419809452212,absolute coefficient damage (|dC1|+|dC2|)/2,balanced
mean_abs_damage,100,-0.7482781316512155,3.637876692533204e-19,-0.8004380789154363,1.6475015548249122e-23,0.5461423304631143,absolute coefficient damage (|dC1|+|dC2|)/2,hf
mean_abs_dc1,300,-0.8062411901137988,6.588240513550846e-70,-0.8401062482630224,3.7326433560962336e-81,0.6941732764826778,absolute damage to C1,pooled
mean_abs_dc1,100,-0.843772416368453,3.097705814465747e-28,-0.8905591784874264,2.6738799735024015e-35,0.8663401836311073,absolute damage to C1,standard
mean_abs_dc1,100,-0.6706155794232842,2.3013425754669073e-14,-0.6822349715618421,5.4711072234064895e-15,0.4385162169548904,absolute damage to C1,balanced
mean_abs_dc1,100,-0.7737882581738891,3.81207829190171e-21,-0.8252164151939864,4.7160124628581395e-26,0.6611418089770904,absolute damage to C1,hf
mean_abs_dc2,300,-0.76059676510631,7.515568587823412e-58,-0.7819251654445667,4.0285060863140115e-63,0.608889331479086,absolute damage to C2,pooled
mean_abs_dc2,100,-0.8018169730723217,1.215746452423005e-23,-0.8342214882586546,4.447138798037654e-27,0.6287680514835388,absolute damage to C2,standard
mean_abs_dc2,100,-0.6933089292856429,1.306613934556124e-15,-0.7108232026529822,1.1840297346096535e-16,0.538450406277565,absolute damage to C2,balanced
mean_abs_dc2,100,-0.7220185486452453,2.319514942040215e-17,-0.7802085386889911,1.1011907369977202e-21,0.4563542469422175,absolute damage to C2,hf
mean_margin_loss_signed_to_bit,300,0.5816136957027007,1.5067775292723327e-28,0.59557907255641,3.4671611181946745e-30,0.2513968156140982,bit-directed margin loss,pooled
mean_margin_loss_signed_to_bit,100,0.7291539099658736,7.8687944561724e-18,0.7711326368126514,6.296366304724116e-21,0.4980297805340568,bit-directed margin loss,standard
mean_margin_loss_signed_to_bit,100,0.7197808218238723,3.233284621358022e-17,0.7395854595001345,1.5210480258598016e-18,0.4251368243671556,bit-directed margin loss,balanced
mean_margin_loss_signed_to_bit,100,0.6818137830158101,5.770210856893349e-15,0.7431520536998784,8.51618180104117e-19,0.3672132113527331,bit-directed margin loss,hf
flip_rate,300,-0.99910259740634,0.0,-0.9998537691528799,0.0,4.034132980987258,sign-flip rate,pooled
flip_rate,100,-0.9984183410303828,2.489180255209695e-124,-0.9997299357427063,6.234742584381644e-162,3.1184925970047006,sign-flip rate,standard
flip_rate,100,-0.9986780280670697,3.820064697827433e-128,-0.9997029374322887,6.640533062370962e-160,3.144187041449144,sign-flip rate,balanced
flip_rate,100,-0.9999129925091064,4.932598451518335e-186,-0.9999669916533893,1.1692746863669857e-206,3.1641156128777164,sign-flip rate,hf
mean_abs_diff_pert,300,-0.7872050865018045,1.6132633532678122e-64,-0.8087467410715877,1.1611731760349477e-70,0.6580800705524976,differential perturbation |dC1-dC2|,pooled
