image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
kodim01,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.981386826135946,0.9843757753635708,0.1279618740081787,512,512
kodim01,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.87084447118016,0.9839783677595738,,512,512
kodim01,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.66852288246607,0.983238821444312,0.1036560535430908,512,512
kodim01,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.45462644524018,0.982400930472116,0.1030280590057373,512,512
kodim02,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,41.02052835107414,0.973155271044752,0.1024789810180664,512,512
kodim02,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.9581364604946,0.9728367799441368,,512,512
kodim02,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.83037369120411,0.9720724120811562,0.1032431125640869,512,512
kodim02,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.703586208723536,0.971343545175648,0.1069369316101074,512,512
kodim03,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,41.06735293479089,0.9703597864740816,0.1060690879821777,512,512
kodim03,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.988436550558866,0.9699259957091768,,512,512
kodim03,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.860256193085654,0.9691372646294694,0.1054871082305908,512,512
kodim03,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.727791243035306,0.9683134093768008,0.10697603225708,512,512
kodim04,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,40.73938718945796,0.9767934338386092,0.1164143085479736,512,512
kodim04,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,40.65886031529786,0.9764117328558216,0.1071438789367675,512,512
kodim04,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,40.50833906706473,0.9757023616701324,0.1049892902374267,512,512
kodim04,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,40.35731234332874,0.9749397222921234,0.1071147918701171,512,512
kodim05,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,37.21243259105598,0.9826246509407116,0.1041479110717773,512,512
kodim05,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,37.09102673221383,0.9821468408644648,0.1034989356994628,512,512
kodim05,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,36.813952328618306,0.9810326344055108,0.1032850742340087,512,512
kodim05,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,36.544971769877755,0.9798943228587772,0.1027371883392334,512,512
kodim06,0.05,fsrcnn,fsrcnn_x4,0.9921875,0.00390625,39.062208710450946,0.979961021387158,0.1014649868011474,512,512
