coefficient_pair,alpha,attack,nc_mean_expJ,nc_mean_expF,abs_diff
hf,0.05,gaussian_blur,0.97455078125,0.97455078125,0.0
hf,0.05,jpeg_q50,0.8996484375,0.8996484375,0.0
hf,0.05,none,0.99998046875,0.99998046875,0.0
hf,0.05,real_esrgan,0.829296875,0.829296875,0.0
hf,0.1,gaussian_blur,0.9768359375,0.9768359375,0.0
hf,0.1,jpeg_q50,0.9015234375,0.9015234375,0.0
hf,0.1,none,0.99998046875,0.99998046875,0.0
hf,0.1,real_esrgan,0.8310546875,0.8310546875,0.0
hf,0.2,gaussian_blur,0.9809375,0.9809375,0.0
hf,0.2,jpeg_q50,0.90484375,0.90484375,0.0
hf,0.2,none,0.99998046875,0.99998046875,0.0
hf,0.2,real_esrgan,0.83419921875,0.83419921875,0.0
hf,0.3,gaussian_blur,0.98453125,0.98453125,0.0
hf,0.3,jpeg_q50,0.90775390625,0.90775390625,0.0
hf,0.3,none,0.99998046875,0.99998046875,0.0
hf,0.3,real_esrgan,0.83771484375,0.83771484375,0.0
standard,0.05,gaussian_blur,0.8980078125,0.8980078125,0.0
standard,0.05,jpeg_q50,0.9940625,0.9940625,0.0
standard,0.05,none,0.99966796875,0.99966796875,0.0
standard,0.05,real_esrgan,0.77380859375,0.77380859375,0.0
standard,0.1,gaussian_blur,0.90966796875,0.90966796875,0.0
standard,0.1,jpeg_q50,0.9952734375,0.9952734375,0.0
standard,0.1,none,0.9996875,0.9996875,0.0
standard,0.1,real_esrgan,0.78326171875,0.78326171875,0.0
standard,0.2,gaussian_blur,0.92994140625,0.92994140625,0.0
standard,0.2,jpeg_q50,0.996328125,0.996328125,0.0
standard,0.2,none,0.99984375,0.99984375,0.0
standard,0.2,real_esrgan,0.80234375,0.80234375,0.0
standard,0.3,gaussian_blur,0.94841796875,0.94841796875,0.0
standard,0.3,jpeg_q50,0.99685546875,0.99685546875,0.0
standard,0.3,none,0.9998828125,0.9998828125,0.0
standard,0.3,real_esrgan,0.81978515625,0.81978515625,0.0
