image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim,esrgan_source
kodim01,kodak,standard,0.1,none,1.0,0.0,40.522719951846824,0.987222817138328,
kodim01,kodak,standard,0.1,real_esrgan,0.73828125,0.130859375,28.158931419307926,0.8719144217449587,disk_precomputed_canonical
kodim01,kodak,standard,0.1,jpeg_q50,1.0,0.0,29.524356566456788,0.8758712607392285,
kodim01,kodak,standard,0.1,gaussian_blur,0.912109375,0.0439453125,25.657156457331727,0.7598572794133721,
kodim01,kodak,balanced,0.1,none,1.0,0.0,40.992432812984646,0.9889738528234875,
kodim01,kodak,balanced,0.1,real_esrgan,0.80859375,0.095703125,28.19453009766007,0.8737327675376947,live_canonical
kodim01,kodak,balanced,0.1,jpeg_q50,1.0,0.0,29.564958495219077,0.8777999088419449,
kodim01,kodak,balanced,0.1,gaussian_blur,0.96484375,0.017578125,25.661249960326444,0.7603725434810711,
kodim01,kodak,hf,0.1,none,1.0,0.0,43.219674573450334,0.992383270589297,
kodim01,kodak,hf,0.1,real_esrgan,0.888671875,0.0556640625,28.285455852760613,0.8728110179638683,disk_precomputed_canonical
kodim01,kodak,hf,0.1,jpeg_q50,0.9765625,0.01171875,29.7015455268548,0.8824999075266219,
kodim01,kodak,hf,0.1,gaussian_blur,0.98046875,0.009765625,25.725074274709854,0.7658600965133674,
kodim02,kodak,standard,0.1,none,1.0,0.0,42.8514230807216,0.9795218574831739,
kodim02,kodak,standard,0.1,real_esrgan,0.7890625,0.10546875,31.048715682120438,0.8599161399195,disk_precomputed_canonical
kodim02,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,32.32025234013288,0.8310686239583228,
kodim02,kodak,standard,0.1,gaussian_blur,0.986328125,0.0068359375,31.92584739891125,0.8678643826905287,
kodim02,kodak,balanced,0.1,none,1.0,0.0,42.98936862697854,0.9797791985690708,
kodim02,kodak,balanced,0.1,real_esrgan,0.787109375,0.1064453125,31.055420206021594,0.8588296583348338,live_canonical
kodim02,kodak,balanced,0.1,jpeg_q50,1.0,0.0,32.35514097638409,0.8332416759235156,
kodim02,kodak,balanced,0.1,gaussian_blur,0.99609375,0.001953125,31.919291628664137,0.8667376795087426,
kodim02,kodak,hf,0.1,none,1.0,0.0,44.60935887208895,0.983616645270622,
kodim02,kodak,hf,0.1,real_esrgan,0.853515625,0.0732421875,31.360638202630145,0.8633742374376913,disk_precomputed_canonical
kodim02,kodak,hf,0.1,jpeg_q50,0.89453125,0.052734375,32.55457162483849,0.8429944391270666,
kodim02,kodak,hf,0.1,gaussian_blur,0.99609375,0.001953125,32.08110492481562,0.875888228543673,
kodim03,kodak,standard,0.1,none,1.0,0.0,42.67252367571915,0.9750942050450339,
kodim03,kodak,standard,0.1,real_esrgan,0.84765625,0.076171875,30.848188065542345,0.9173261249074399,disk_precomputed_canonical
kodim03,kodak,standard,0.1,jpeg_q50,0.99609375,0.001953125,33.50684114887217,0.8881830873920081,
kodim03,kodak,standard,0.1,gaussian_blur,0.96875,0.015625,32.24234909344714,0.9054823634494481,
kodim03,kodak,balanced,0.1,none,1.0,0.0,42.31811269615123,0.975657225097842,
kodim03,kodak,balanced,0.1,real_esrgan,0.88671875,0.056640625,30.813711126842325,0.9172126790698139,live_canonical
kodim03,kodak,balanced,0.1,jpeg_q50,0.998046875,0.0009765625,33.5315624389933,0.8931689892757647,
kodim03,kodak,balanced,0.1,gaussian_blur,0.974609375,0.0126953125,32.206235120351884,0.9041277006101384,
kodim03,kodak,hf,0.1,none,1.0,0.0,44.48759165182583,0.9813682392239489,
kodim03,kodak,hf,0.1,real_esrgan,0.876953125,0.0615234375,31.141176239920174,0.92244735969185,disk_precomputed_canonical
kodim03,kodak,hf,0.1,jpeg_q50,0.8515625,0.07421875,33.83220886796448,0.9061353326223148,
kodim03,kodak,hf,0.1,gaussian_blur,0.990234375,0.0048828125,32.41436478409564,0.9148731093353225,
kodim04,kodak,standard,0.1,none,1.0,0.0,42.38846065757762,0.9811085414358391,
kodim04,kodak,standard,0.1,real_esrgan,0.814453125,0.0927734375,29.70789869278738,0.8856327571092555,disk_precomputed_canonical
kodim04,kodak,standard,0.1,jpeg_q50,0.998046875,0.0009765625,32.634255585907695,0.8692434573028556,
kodim04,kodak,standard,0.1,gaussian_blur,0.96484375,0.017578125,31.694882802258615,0.8884382766655033,
kodim04,kodak,balanced,0.1,none,0.998046875,0.0009765625,41.684213244585465,0.9801763600863248,
kodim04,kodak,balanced,0.1,real_esrgan,0.83984375,0.080078125,29.733663331494892,0.8868742212835997,live_canonical
kodim04,kodak,balanced,0.1,jpeg_q50,0.99609375,0.001953125,32.56557589947041,0.8690974316092598,
kodim04,kodak,balanced,0.1,gaussian_blur,0.984375,0.0078125,31.63320269832076,0.8867578966234317,
kodim04,kodak,hf,0.1,none,1.0,0.0,44.40584960798841,0.9855577688725851,
kodim04,kodak,hf,0.1,real_esrgan,0.8984375,0.05078125,29.969703016176382,0.8925787089331032,disk_precomputed_canonical
kodim04,kodak,hf,0.1,jpeg_q50,0.927734375,0.0361328125,32.89396542411404,0.8799718163061363,
kodim04,kodak,hf,0.1,gaussian_blur,0.990234375,0.0048828125,31.861566571315926,0.8961867489513052,
kodim05,kodak,standard,0.1,none,1.0,0.0,38.375554364065145,0.9851300679648028,
kodim05,kodak,standard,0.1,real_esrgan,0.822265625,0.0888671875,27.62947240463766,0.9192835258292454,disk_precomputed_canonical
kodim05,kodak,standard,0.1,jpeg_q50,0.9921875,0.00390625,28.643905989139466,0.8938586230226421,
kodim05,kodak,standard,0.1,gaussian_blur,0.798828125,0.1005859375,25.346161164525995,0.8252916998141098,
kodim05,kodak,balanced,0.1,none,0.998046875,0.0009765625,36.98919482853978,0.981726087984586,
kodim05,kodak,balanced,0.1,real_esrgan,0.796875,0.1015625,27.578206457173835,0.918068224629523,live_canonical
kodim05,kodak,balanced,0.1,jpeg_q50,0.986328125,0.0068359375,28.505899865941963,0.8913408429212203,
kodim05,kodak,balanced,0.1,gaussian_blur,0.828125,0.0859375,25.27956353874865,0.8223107302762708,
kodim05,kodak,hf,0.1,none,1.0,0.0,42.256311565739594,0.9930729822489169,
kodim05,kodak,hf,0.1,real_esrgan,0.833984375,0.0830078125,27.815127231509784,0.9253682224174115,disk_precomputed_canonical
kodim05,kodak,hf,0.1,jpeg_q50,0.978515625,0.0107421875,28.90553940090671,0.9010006656515636,
kodim05,kodak,hf,0.1,gaussian_blur,0.93359375,0.033203125,25.465130386232907,0.8331457336083092,
kodim06,kodak,standard,0.1,none,0.99609375,0.001953125,40.285685296206154,0.9830995063806097,
kodim06,kodak,standard,0.1,real_esrgan,0.830078125,0.0849609375,29.70235067304487,0.9019600433881866,disk_precomputed_canonical
kodim06,kodak,standard,0.1,jpeg_q50,0.98046875,0.009765625,30.48165492805135,0.8821014432528981,
kodim06,kodak,standard,0.1,gaussian_blur,0.9140625,0.04296875,27.087336768802505,0.7963146982500372,
kodim06,kodak,balanced,0.1,none,0.998046875,0.0009765625,41.96808736618179,0.9861179413533496,
kodim06,kodak,balanced,0.1,real_esrgan,0.87109375,0.064453125,29.785308400217335,0.9045887457251037,live_canonical
kodim06,kodak,balanced,0.1,jpeg_q50,0.990234375,0.0048828125,30.616198584916873,0.8852281902018472,
kodim06,kodak,balanced,0.1,gaussian_blur,0.97265625,0.013671875,27.125073201926313,0.797742533679013,
kodim06,kodak,hf,0.1,none,1.0,0.0,43.41465399823261,0.9885647600650679,
kodim06,kodak,hf,0.1,real_esrgan,0.92578125,0.037109375,29.922815979739855,0.9057353246679347,disk_precomputed_canonical
kodim06,kodak,hf,0.1,jpeg_q50,0.8671875,0.06640625,30.736588739136277,0.8912370591772215,
kodim06,kodak,hf,0.1,gaussian_blur,0.962890625,0.0185546875,27.19358604592979,0.8044478852300712,
kodim07,kodak,standard,0.1,none,1.0,0.0,40.323596346103834,0.97795004266324,
kodim07,kodak,standard,0.1,real_esrgan,0.693359375,0.1533203125,30.16087080665688,0.9387836373150074,disk_precomputed_canonical
kodim07,kodak,standard,0.1,jpeg_q50,1.0,0.0,32.530625365327964,0.9138047113535807,
kodim07,kodak,standard,0.1,gaussian_blur,0.904296875,0.0478515625,30.829628922625755,0.9291180642303246,
kodim07,kodak,balanced,0.1,none,1.0,0.0,40.60290383078846,0.9780323210479894,
kodim07,kodak,balanced,0.1,real_esrgan,0.76171875,0.119140625,30.221916621525622,0.9384799079783299,live_canonical
kodim07,kodak,balanced,0.1,jpeg_q50,1.0,0.0,32.58890190972968,0.9176699283581278,
kodim07,kodak,balanced,0.1,gaussian_blur,0.9609375,0.01953125,30.826859985062853,0.9281078275393001,
kodim07,kodak,hf,0.1,none,1.0,0.0,44.32602242056973,0.9863305576401906,
kodim07,kodak,hf,0.1,real_esrgan,0.83203125,0.083984375,30.384194019568696,0.9457851985364311,disk_precomputed_canonical
kodim07,kodak,hf,0.1,jpeg_q50,0.875,0.0625,33.07134979791616,0.9304439547202482,
kodim07,kodak,hf,0.1,gaussian_blur,0.986328125,0.0068359375,31.09536723365521,0.9384379429406148,
kodim08,kodak,standard,0.1,none,1.0,0.0,37.63134906126618,0.9852811252276438,
kodim08,kodak,standard,0.1,real_esrgan,0.52734375,0.236328125,26.394662218835457,0.9126980085245702,disk_precomputed_canonical
