coeff_pair,direction,attack_name,image,nc,ber
"(1,4)/(7,7)",A,real_esrgan,kodim01.png,0.7421875,0.12890625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim01.png,0.951171875,0.0244140625
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim01.png,0.716796875,0.1416015625
"(1,4)/(7,7)",A,espcn_x4,kodim01.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim02.png,0.76171875,0.119140625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim02.png,0.9765625,0.01171875
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim02.png,0.908203125,0.0458984375
"(1,4)/(7,7)",A,espcn_x4,kodim02.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim03.png,0.78515625,0.107421875
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim03.png,0.943359375,0.0283203125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim03.png,0.845703125,0.0771484375
"(1,4)/(7,7)",A,espcn_x4,kodim03.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim04.png,0.810546875,0.0947265625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim04.png,0.970703125,0.0146484375
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim04.png,0.86328125,0.068359375
"(1,4)/(7,7)",A,espcn_x4,kodim04.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim05.png,0.638671875,0.1806640625
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim05.png,0.880859375,0.0595703125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim05.png,0.396484375,0.3017578125
"(1,4)/(7,7)",A,espcn_x4,kodim05.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim06.png,0.896484375,0.0517578125
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim06.png,0.955078125,0.0224609375
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim06.png,0.8203125,0.08984375
"(1,4)/(7,7)",A,espcn_x4,kodim06.png,0.990234375,0.0048828125
"(1,4)/(7,7)",A,real_esrgan,kodim07.png,0.6953125,0.15234375
"(1,4)/(7,7)",A,jpeg_compression_q50,kodim07.png,0.927734375,0.0361328125
"(1,4)/(7,7)",A,gaussian_blur_5x5,kodim07.png,0.736328125,0.1318359375
"(1,4)/(7,7)",A,espcn_x4,kodim07.png,1.0,0.0
"(1,4)/(7,7)",A,real_esrgan,kodim08.png,0.45703125,0.271484375
