k_value,image,attack_name,nc,ber
1,kodim01,jpeg_compression_q50,1.0,0.0
1,kodim01,gaussian_blur_5x5,0.912109375,0.0439453125
1,kodim01,real_esrgan,0.73828125,0.130859375
1,kodim02,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim02,gaussian_blur_5x5,0.986328125,0.0068359375
1,kodim02,real_esrgan,0.7890625,0.10546875
1,kodim03,jpeg_compression_q50,0.99609375,0.001953125
1,kodim03,gaussian_blur_5x5,0.96875,0.015625
1,kodim03,real_esrgan,0.84765625,0.076171875
1,kodim04,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim04,gaussian_blur_5x5,0.96484375,0.017578125
1,kodim04,real_esrgan,0.814453125,0.0927734375
1,kodim05,jpeg_compression_q50,0.9921875,0.00390625
1,kodim05,gaussian_blur_5x5,0.798828125,0.1005859375
1,kodim05,real_esrgan,0.822265625,0.0888671875
1,kodim06,jpeg_compression_q50,0.98046875,0.009765625
1,kodim06,gaussian_blur_5x5,0.9140625,0.04296875
1,kodim06,real_esrgan,0.830078125,0.0849609375
1,kodim07,jpeg_compression_q50,1.0,0.0
1,kodim07,gaussian_blur_5x5,0.904296875,0.0478515625
1,kodim07,real_esrgan,0.693359375,0.1533203125
1,kodim08,jpeg_compression_q50,0.990234375,0.0048828125
1,kodim08,gaussian_blur_5x5,0.78515625,0.107421875
1,kodim08,real_esrgan,0.52734375,0.236328125
1,kodim09,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim09,gaussian_blur_5x5,0.955078125,0.0224609375
1,kodim09,real_esrgan,0.755859375,0.1220703125
1,kodim10,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim10,gaussian_blur_5x5,0.966796875,0.0166015625
1,kodim10,real_esrgan,0.736328125,0.1318359375
1,kodim11,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim11,gaussian_blur_5x5,0.951171875,0.0244140625
1,kodim11,real_esrgan,0.849609375,0.0751953125
1,kodim12,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim12,gaussian_blur_5x5,0.974609375,0.0126953125
1,kodim12,real_esrgan,0.888671875,0.0556640625
1,kodim13,jpeg_compression_q50,0.9921875,0.00390625
1,kodim13,gaussian_blur_5x5,0.853515625,0.0732421875
1,kodim13,real_esrgan,0.912109375,0.0439453125
1,kodim14,jpeg_compression_q50,1.0,0.0
1,kodim14,gaussian_blur_5x5,0.90234375,0.048828125
1,kodim14,real_esrgan,0.8828125,0.05859375
1,kodim15,jpeg_compression_q50,0.98046875,0.009765625
1,kodim15,gaussian_blur_5x5,0.953125,0.0234375
1,kodim15,real_esrgan,0.791015625,0.1044921875
1,kodim16,jpeg_compression_q50,1.0,0.0
1,kodim16,gaussian_blur_5x5,0.984375,0.0078125
1,kodim16,real_esrgan,0.908203125,0.0458984375
1,kodim17,jpeg_compression_q50,1.0,0.0
1,kodim17,gaussian_blur_5x5,0.94140625,0.029296875
1,kodim17,real_esrgan,0.927734375,0.0361328125
1,kodim18,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim18,gaussian_blur_5x5,0.9296875,0.03515625
1,kodim18,real_esrgan,0.9375,0.03125
1,kodim19,jpeg_compression_q50,1.0,0.0
1,kodim19,gaussian_blur_5x5,0.931640625,0.0341796875
1,kodim19,real_esrgan,0.833984375,0.0830078125
1,kodim20,jpeg_compression_q50,0.8203125,0.08984375
1,kodim20,gaussian_blur_5x5,0.92578125,0.037109375
1,kodim20,real_esrgan,0.455078125,0.2724609375
1,kodim21,jpeg_compression_q50,0.9921875,0.00390625
1,kodim21,gaussian_blur_5x5,0.89453125,0.052734375
1,kodim21,real_esrgan,0.759765625,0.1201171875
1,kodim22,jpeg_compression_q50,0.998046875,0.0009765625
1,kodim22,gaussian_blur_5x5,0.970703125,0.0146484375
1,kodim22,real_esrgan,0.912109375,0.0439453125
1,kodim23,jpeg_compression_q50,1.0,0.0
1,kodim23,gaussian_blur_5x5,0.982421875,0.0087890625
1,kodim23,real_esrgan,0.837890625,0.0810546875
1,kodim24,jpeg_compression_q50,0.970703125,0.0146484375
1,kodim24,gaussian_blur_5x5,0.900390625,0.0498046875
1,kodim24,real_esrgan,0.796875,0.1015625
1,t001,jpeg_compression_q50,1.0,0.0
1,t001,gaussian_blur_5x5,0.94921875,0.025390625
1,t001,real_esrgan,0.779296875,0.1103515625
1,t002,jpeg_compression_q50,0.998046875,0.0009765625
1,t002,gaussian_blur_5x5,0.94921875,0.025390625
1,t002,real_esrgan,0.658203125,0.1708984375
1,t003,jpeg_compression_q50,0.998046875,0.0009765625
1,t003,gaussian_blur_5x5,0.904296875,0.0478515625
1,t003,real_esrgan,0.734375,0.1328125
1,t004,jpeg_compression_q50,1.0,0.0
1,t004,gaussian_blur_5x5,0.943359375,0.0283203125
1,t004,real_esrgan,0.5625,0.21875
1,t005,jpeg_compression_q50,1.0,0.0
1,t005,gaussian_blur_5x5,0.947265625,0.0263671875
1,t005,real_esrgan,0.81640625,0.091796875
1,t006,jpeg_compression_q50,1.0,0.0
1,t006,gaussian_blur_5x5,0.958984375,0.0205078125
1,t006,real_esrgan,0.80078125,0.099609375
1,t007,jpeg_compression_q50,1.0,0.0
