image,alpha,embedding_variant,attack_type,attack_name,psnr_watermark,ssim_watermark,psnr_after_attack,ssim_after_attack,nc,ber
kodim01,0.05,standard,none,watermarked_only,40.684344496387496,0.9876162982502598,40.684344496387496,0.9876162982502598,1.0,0.0
kodim01,0.05,standard,traditional,jpeg_compression_q50,40.684344496387496,0.9876162982502598,29.535279908269416,0.87621545653686,1.0,0.0
kodim01,0.05,standard,traditional,gaussian_noise_s10,40.684344496387496,0.9876162982502598,27.90134793584543,0.7991292066538876,1.0,0.0
kodim01,0.05,standard,traditional,median_filter_3x3,40.684344496387496,0.9876162982502598,26.486756360101396,0.7788425542886633,0.83984375,0.080078125
kodim01,0.05,standard,traditional,gaussian_blur_5x5,40.684344496387496,0.9876162982502598,25.65955733327753,0.7600516401007908,0.8984375,0.05078125
kodim01,0.05,standard,traditional,crop_resize_80pct,40.684344496387496,0.9876162982502598,14.41457886152115,0.1305085347953726,0.001953125,0.4990234375
kodim01,0.05,standard,ai_enhancement,ai_fallback_enhancement,40.684344496387496,0.9876162982502598,16.048411318508734,0.6850467066263698,0.970703125,0.0146484375
kodim01,0.05,standard,ai_enhancement,espcn_x4,40.684344496387496,0.9876162982502598,39.67177121686364,0.9851651992121288,1.0,0.0
kodim01,0.05,standard,ai_enhancement,real_esrgan,40.684344496387496,0.9876162982502598,28.165750650590596,0.872148856470237,0.720703125,0.1396484375
kodim01,0.1,standard,none,watermarked_only,40.522719951846824,0.987222817138328,40.522719951846824,0.987222817138328,1.0,0.0
kodim01,0.1,standard,traditional,jpeg_compression_q50,40.522719951846824,0.987222817138328,29.524356566456788,0.8758712607392288,1.0,0.0
kodim01,0.1,standard,traditional,gaussian_noise_s10,40.522719951846824,0.987222817138328,27.892599641898105,0.7988999491231027,1.0,0.0
kodim01,0.1,standard,traditional,median_filter_3x3,40.522719951846824,0.987222817138328,26.48284891998898,0.7786029980307614,0.849609375,0.0751953125
kodim01,0.1,standard,traditional,gaussian_blur_5x5,40.522719951846824,0.987222817138328,25.657156457331727,0.7598572794133722,0.912109375,0.0439453125
kodim01,0.1,standard,traditional,crop_resize_80pct,40.522719951846824,0.987222817138328,14.414510282338425,0.1304798958131592,0.001953125,0.4990234375
kodim01,0.1,standard,ai_enhancement,ai_fallback_enhancement,40.522719951846824,0.987222817138328,16.043688304317048,0.6846580473427374,0.9765625,0.01171875
kodim01,0.1,standard,ai_enhancement,espcn_x4,40.522719951846824,0.987222817138328,39.54254066379172,0.9847730405668748,1.0,0.0
kodim01,0.1,standard,ai_enhancement,real_esrgan,40.522719951846824,0.987222817138328,28.15893141930793,0.8719144217449587,0.73828125,0.130859375
kodim01,0.2,standard,none,watermarked_only,40.23016812868495,0.986485614023112,40.23016812868495,0.986485614023112,1.0,0.0
kodim01,0.2,standard,traditional,jpeg_compression_q50,40.23016812868495,0.986485614023112,29.50137036161568,0.875262539598311,1.0,0.0
